,SummonerName,GamesPlayed,AvgGameTime,WinRate,AvgKills,AvgDeaths,AvgAssists,AvgTowers,AvgInhibs,AvgBarons,AvgDrags,AvgVisionScore,AvgDamageDealt,FirstTowerRate,AvgCS,FirstBloodRate,AvgGoldEarned,AvgDamageTaken,AvgKillGold,AvgAssistGold,AvgTowerGold,AvgInhibGold,AvgDragGold,AvgHeraldGold,AvgBaronGold,AvgCSGold,AvgKillGoldDiff,AvgAssistGoldDiff,AvgTowerGoldDiff,AvgInhibGoldDiff,AvgDragGoldDiff,AvgHeraldGoldDiff,AvgCSGoldDiff,AvgTotalGoldDiff,AvgDamageDealtDiff,AvgVisionDiff,AvgCSDiff,AvgCSPerMin,AvgPowerScore
0,Shiphtur,482,28.102662517289072,47.72%,6.529045643153527,4.261410788381743,6.228215767634855,0.7987551867219918,0.11410788381742738,0.5228215767634855,1.2178423236514522,24.67427385892116,148542.2510373444,0.06%,189.16804979253112,0.11%,11549.298755186723,17830.5,1895.1970954356846,412.9552213001383,275.8558091286307,5.7053941908713695,8.661825726141078,1.2448132780082988,156.84647302904565,8792.832123098204,331.5331950207469,-40.65024204702628,-44.83921161825725,-1.4522821576763485,0.4149377593360996,-0.4149377593360996,-282.62257952973715,-43.63278008298755,-15343.558091286308,-2.0580912863070537,-8.006224066390041,6.755332662788402,-1.8149151881211114
1,Piggy Kitten,463,27.894024478041757,54.64%,6.069114470842333,4.151187904967602,6.8034557235421165,0.6997840172786177,0.15550755939524838,0.5269978401727862,1.4038876889848813,28.060475161987043,184918.69330453564,0.05%,205.02591792656588,0.09%,11804.060475161987,17854.656587473,1754.842332613391,471.9181065514759,280.69654427645787,7.775377969762419,8.96328293736501,1.079913606911447,157.451403887689,9121.333513318934,261.4773218142549,24.774478041756666,19.71742260619151,0.755939524838013,0.9719222462203023,-0.8639308855291576,194.05885529157666,515.1468682505399,17520.03887688985,2.937365010799136,11.377969762419006,7.357625760587565,-1.366700527998413
2,Julien,297,27.42794612794613,49.49%,4.414141414141414,4.653198653198653,6.882154882154882,0.6195286195286195,0.11447811447811448,0.49158249158249157,1.228956228956229,25.666666666666668,160052.17845117845,0.06%,197.13131313131314,0.07%,10985.353535353535,19130.026936026938,1297.037037037037,471.7098765432098,270.381593714927,5.723905723905724,5.63973063973064,1.6835016835016836,147.4747474747475,8785.703142536477,-165.24579124579125,25.834455667788987,-15.31986531986532,-0.5050505050505051,-0.5050505050505051,-1.6835016835016836,-101.66610549943876,-270.2020202020202,1855.7643097643097,0.8686868686868687,3.1414141414141414,7.225725670257678,-2.0339841344827936
3,Pobelter,249,28.024230254350734,48.19%,5.6305220883534135,5.092369477911647,6.248995983935743,1.0883534136546185,0.18473895582329317,0.4939759036144578,1.3172690763052208,29.819277108433734,181562.9919678715,0.07%,224.22088353413653,0.08%,12293.44578313253,19677.020080321287,1660.0321285140562,457.82898259705496,370.2744310575636,9.236947791164658,6.927710843373494,0.8032128514056225,148.19277108433735,9640.149598393575,-25.10843373493976,0.6639892904953206,87.28580990629185,1.8072289156626506,-3.5140562248995986,0.40160642570281124,682.8895582329317,729.9678714859438,27117.626506024095,4.7028112449799195,31.518072289156628,8.03642375981071,-1.6277115556948998
4,Tuesdayy,237,27.753305203938112,51.48%,6.362869198312236,5.485232067510548,7.046413502109704,0.6835443037974683,0.16033755274261605,0.4641350210970464,1.240506329113924,19.831223628691983,162496.13502109706,0.04%,191.72573839662448,0.07%,11799.156118143459,19275.628691983122,1856.2911392405063,500.7700421940928,277.41912798874824,8.016877637130802,12.869198312236287,0.4219409282700422,139.2405063291139,9004.127285513361,140.76793248945148,20.4957805907173,-10.921237693389587,0.0,7.2784810126582276,0.0,168.53516174402245,302.1054852320675,6824.53164556962,-4.831223628691983,3.2869198312236287,6.9393145271833045,-1.5441159764612717
5,Descraton,230,28.224782608695648,54.78%,5.839130434782609,4.504347826086956,7.091304347826087,0.8869565217391304,0.22608695652173913,0.5826086956521739,1.5043478260869565,19.704347826086956,203393.1695652174,0.06%,209.51739130434783,0.09%,12256.482608695653,21787.565217391304,1684.682608695652,496.9938405797101,320.7789855072463,11.304347826086957,11.847826086956522,1.3043478260869565,174.7826086956522,9554.78804347826,133.6695652173913,16.67391304347826,30.06521739130435,7.173913043478261,4.130434782608695,-0.8695652173913043,514.7739130434783,719.9652173913043,36429.01304347826,-5.48695652173913,14.556521739130435,7.456282875867944,-1.369368822852915
6,goldenglue,221,27.88182503770739,54.30%,6.497737556561086,4.728506787330317,6.773755656108597,0.9502262443438914,0.17647058823529413,0.5294117647058824,1.3755656108597285,28.380090497737555,175472.97285067872,0.07%,209.24886877828055,0.08%,12416.900452488688,18927.859728506788,1880.5067873303167,476.34502262443436,338.8235294117647,8.823529411764707,11.085972850678733,2.262443438914027,158.8235294117647,9540.22963800905,296.2307692307692,-3.7594268476621404,84.82654600301657,1.3574660633484164,8.597285067873303,0.45248868778280543,746.8242835595777,1148.10407239819,23487.108597285067,4.65158371040724,22.13574660633484,7.531263418457786,-0.9222110191348831
7,Anivia Kid,208,29.06722756410256,53.37%,5.947115384615385,4.3798076923076925,6.985576923076923,1.1057692307692308,0.21153846153846154,0.5721153846153846,1.2692307692307692,24.990384615384617,168959.3125,0.07%,222.1346153846154,0.05%,12781.783653846154,19506.83173076923,1700.3461538461538,487.2347756410257,359.12259615384613,10.576923076923077,9.615384615384615,0.9615384615384616,171.6346153846154,10042.291666666668,96.23076923076923,27.8790064102564,62.70432692307692,-1.4423076923076923,-11.899038461538462,0.0,569.9551282051283,734.7740384615385,20620.62019230769,-0.9423076923076923,17.16346153846154,7.6999037922076505,-1.3581302671934194
8,cloud mandate,198,28.33989898989899,53.03%,5.878787878787879,4.040404040404041,6.818181818181818,0.5909090909090909,0.13131313131313133,0.6111111111111112,1.4292929292929293,20.707070707070706,163211.28282828283,0.03%,201.7020202020202,0.11%,11775.5,19875.91919191919,1728.5,454.12289562289567,267.9166666666667,6.565656565656566,14.772727272727273,0.5050505050505051,183.33333333333334,9119.783670033668,224.40404040404042,23.143939393939394,-16.906565656565657,0.7575757575757576,9.343434343434344,0.5050505050505051,47.999999999999964,321.0656565656566,-16456.146464646463,-6.212121212121212,1.6262626262626263,7.171186919115394,-1.355816580750319
9,insanityxxx,170,28.405784313725487,54.12%,7.088235294117647,4.8352941176470585,7.0588235294117645,0.9705882352941176,0.21764705882352942,0.5588235294117647,1.4411764705882353,30.45294117647059,201241.11764705883,0.06%,211.52941176470588,0.13%,12715.158823529411,19585.817647058822,2065.7235294117645,491.86176470588236,332.36764705882354,10.882352941176471,6.323529411764706,0.5882352941176471,167.64705882352942,9639.764705882353,464.5470588235294,-23.26372549019608,36.19117647058824,6.176470588235294,-5.882352941176471,-4.117647058823529,519.4019607843138,1019.5235294117647,30635.04705882353,4.405882352941177,14.31764705882353,7.451166972696151,-1.0549800036637191
